ORG,DEST,DIST
BIL,SEA,664
BIL,FCA,320
BIL,ORD,1060
BIL,ONT,941
BIL,MKE,1038
BIL,AZA,878
BIL,LAS,754
BIL,IFP,800
BIL,PDX,679
BIL,GTF,177
BIL,ATL,1525
BIL,FWA,1217
BIL,DSM,800
BIL,RST,797
BIL,OMA,706
BIL,AFW,1067
BIL,COS,522
BIL,GJT,461
BIL,GFK,558
BIL,DFW,1081
BIL,CPR,225
BIL,IND,1202
BIL,SDF,1281
BIL,RFD,998
BIL,PHX,873
BIL,GGW,189
BIL,BUR,954
BIL,BFI,664
BIL,LAX,970
BIL,FSD,601
BIL,MEM,1224
BIL,IDA,235
BIL,SFO,909
BIL,IAD,1648
BIL,CLT,1615
BIL,MCI,835
BIL,OAK,898
BIL,SGF,980
BIL,PIA,1013
BIL,JAC,186
BIL,KTN,1206
BIL,ATW,984
BIL,MSO,276
BIL,YIP,1265
BIL,DCA,1671
BIL,LWS,409
BIL,CID,882
BIL,MLS,135
BIL,ICT,803
BIL,RNO,718
BIL,LWT,96
BIL,BLI,688
BIL,IAH,1304
BIL,MFR,750
BIL,YKM,578
BIL,BOS,1866
BIL,DTW,1274
BIL,ABQ,750
BIL,LBB,910
BIL,HLN,174
BIL,SMF,828
BIL,CLE,1366
BIL,TWF,374
BIL,EUG,728
BIL,ANC,1964
BIL,MSN,965
BIL,OKC,919
BIL,WRL,130
BIL,SHR,104
BIL,LAR,342
BIL,RAP,295
BIL,HSV,1378
BIL,LSE,858
BIL,OTH,790
BIL,MDW,1073
BIL,FLG,754
BIL,TUL,934
BIL,BNA,1318
BIL,MSY,1472
MCO,ATL,404
MCO,CLT,468
MCO,CVG,757
MCO,DEN,1546
MCO,DTW,957
MCO,HOU,849
MCO,IND,829
MCO,JFK,944
MCO,LGA,950
MCO,MEM,684
MCO,MIA,192
MCO,MSP,1310
MCO,BOS,1121
MCO,MKE,1066
MCO,SAT,1041
MCO,MCO,0
MCO,BNA,616
MCO,MDT,851
MCO,LAX,2218
MCO,SEA,2554
MCO,SLC,1931
MCO,MDW,990
MCO,MFE,1052
MCO,MSY,551
MCO,OKC,1069
MCO,SDF,719
MCO,BUR,2215
MCO,TPA,81
MCO,BDL,1050
MCO,JAX,144
MCO,MLB,46
MCO,RDU,534
MCO,GNV,105
MCO,PHL,861
MCO,FLL,177
MCO,GRR,1024
MCO,GSO,535
MCO,PIT,834
MCO,CAE,380
MCO,MCI,1072
MCO,OMA,1211
MCO,CMH,802
MCO,DCA,759
MCO,CLE,895
MCO,HPN,972
MCO,IAD,758
MCO,AUS,994
MCO,RIC,667
MCO,ORD,1005
MCO,IAH,854
MCO,EWR,937
MCO,MHT,1142
MCO,PBI,141
MCO,SYR,1053
MCO,BWI,787
MCO,BQN,1129
MCO,PVD,1072
MCO,CHS,317
MCO,DFW,985
MCO,SJU,1189
MCO,ACY,852
MCO,LBE,824
MCO,PWM,1214
MCO,RSW,133
MCO,PHF,662
MCO,LIT,776
MCO,CAK,861
MCO,ROC,1033
MCO,FNT,1011
MCO,ALB,1073
MCO,COU,952
MCO,PHX,1849
MCO,RDG,878
MCO,AVP,944
MCO,TUL,1005
MCO,ANB,446
MCO,GSP,449
MCO,BHM,479
MCO,SFO,2446
MCO,ORH,1091
MCO,PSE,1179
MCO,SWF,989
MCO,GJT,1722
MCO,TLH,228
MCO,STL,882
MCO,CRP,989
MCO,ORF,655
MCO,TTN,896
MCO,ISP,971
MCO,ABQ,1553
MCO,MAF,1271
MCO,SAN,2149
MCO,COS,1520
MCO,LCH,729
MCO,SHV,796
MCO,BFF,1558
MCO,CYS,1590
MCO,LFT,656
MCO,TUS,1784
MCO,DAB,54
MCO,LAS,2039
MCO,STT,1246
MCO,SAV,255
MCO,DAL,973
MCO,ECP,301
MCO,PIE,91
MCO,ONT,2171
MCO,DAY,808
MCO,BUF,1011
MCO,MSN,1109
MCO,EYW,268
MCO,PNS,381
MCO,BMI,936
MCO,ILG,841
MCO,APF,159
MCO,PIB,525
MCO,ACT,978
MCO,ADS,975
MCO,MCN,325
MCO,TYS,532
MCO,LRD,1110
MCO,AEX,703
MCO,RST,1234
MCO,HSV,535
MCO,FOE,1097
MCO,AGS,343
MCO,LNS,855
MCO,BTR,610
MCO,LAR,1636
MCO,LBB,1266
MCO,AMA,1285
MCO,BED,1119
MCO,GGG,845
MCO,PUB,1498
MCO,SJC,2421
MCO,ELP,1516
MCO,FSD,1351
MCO,JAN,588
MCO,AFW,1002
MCO,SMF,2408
MCO,CRW,685
MCO,PDX,2534
MCO,YIP,960
MCO,ICT,1129
MCO,STX,1282
MCO,MGM,404
MCO,WRI,886
MCO,BOI,2194
MCO,LAF,886
MCO,LNK,1224
MCO,ABE,906
MCO,ABI,1129
MCO,PIA,968
MCO,SFB,24
MCO,HRL,1016
MCO,CHO,689
MCO,SHD,692
MCO,OAK,2438
MCO,GRB,1169
MCO,LAN,1006
MCO,DHN,318
MCO,BGR,1322
MCO,CSG,355
MCO,TOL,918
MCO,CKB,752
MCO,RFD,1045
MCO,LEX,689
MCO,CMI,893
MCO,MYR,388
MCO,SRQ,104
MCO,GTF,2080
MCO,SCE,878
MCO,CID,1097
MCO,BWG,659
MCO,MLI,1037
MCO,ROA,618
MCO,AVL,488
MCO,DSM,1141
MCO,BTV,1194
MCO,SBN,958
MCO,INT,535
MCO,TCL,498
MCO,ILM,450
MCO,SPI,920
MCO,GEG,2345
MCO,GCK,1297
MCO,YNG,885
MCO,JLN,973
MCO,BIS,1645
MCO,HTS,689
MCO,SGF,926
MCO,TRI,558
MCO,ABY,274
MCO,VPS,344
MCO,GRK,1007
MCO,FWA,892
MCO,RNO,2315
MCO,MHK,1148
MCO,CLL,917
MCO,GPT,486
MCO,ADW,760
MCO,GFK,1592
MCO,VRB,77
PIZ,BRW,180
PIZ,OTZ,198
PIZ,PHO,134
PIZ,AIN,95
PIZ,ATK,141
PIZ,NUI,287
PIZ,FAI,528
PIZ,OME,368
PIZ,WTK,151
PIZ,ANC,698
PIZ,SCC,346
PIZ,PIZ,0
PIZ,KVL,144
PIZ,AKP,301
PIZ,UTO,355
PIZ,BTT,352
PIZ,BTI,461
PIZ,GAL,382
KLG,BET,72
KLG,AKI,53
KLG,ANI,27
KLG,HCR,49
KLG,MOU,116
KLG,ANC,345
KLG,ADQ,380
KLG,MCG,182
KLG,KSM,103
KLG,GAL,246
KLG,EEK,108
KLG,ANV,77
KLG,WNA,80
KLG,KLG,0
KLG,AKN,235
KLG,KNW,176
KLG,VAK,174
KLG,ILI,222
KLG,HPB,192
KLG,PAQ,371
KLG,DLG,184
KLG,PTU,182
ACK,PVD,78
ACK,HPN,191
ACK,BOS,91
ACK,EWB,55
ACK,MVY,30
ACK,HYA,31
ACK,GON,103
ACK,BDR,160
ACK,BLM,226
ACK,JFK,199
ACK,LEB,200
ACK,TTN,258
ACK,LGA,202
ACK,BVY,102
ACK,ROC,411
ACK,BHB,237
ACK,BED,105
ACK,PHL,289
ACK,PSM,132
ACK,IAD,423
ACK,MMU,230
ACK,FID,103
ACK,RIC,467
ACK,EWR,218
ACK,DCA,405
ACK,ORH,117
ACK,BDL,144
ACK,BAF,151
ACK,HVN,147
ACK,BGR,253
ACK,AGC,521
ACK,PWM,166
ACK,LUK,773
ACK,BNA,964
ACK,ALB,219
ACK,AUG,212
ACK,ILG,312
ACK,POU,200
ACK,BWI,378
ACK,MHT,136
ACK,ISP,162
ACK,IPT,357
ACK,RUT,216
ACK,CLT,723
ACK,BTV,272
ACK,SLK,302
ACK,BUR,2655
ACK,CLE,613
ACK,ACK,0
AGS,ATL,143
AGS,HPN,699
AGS,YIP,618
AGS,CLT,140
AGS,CAE,63
AGS,DCA,468
AGS,LGA,678
AGS,PHL,583
AGS,RIC,387
AGS,CLE,554
AGS,LRD,1117
AGS,ACY,588
AGS,CHS,116
AGS,TPA,373
AGS,GPT,465
AGS,IND,499
AGS,SDF,393
AGS,MIA,531
AGS,BWI,497
AGS,GSP,106
AGS,IAD,460
AGS,RDU,250
AGS,SAV,96
AGS,DAL,863
AGS,MEM,473
AGS,CHA,218
AGS,BDR,725
AGS,JAX,199
AGS,FLO,141
AGS,AVL,146
AGS,DFW,874
AGS,GLH,521
AGS,ADS,862
AGS,AEX,635
AGS,PBI,474
AGS,MSY,541
AGS,FNT,669
AGS,SHV,692
AGS,SWF,707
AGS,CLL,866
AGS,GGG,744
AGS,GSO,221
AGS,SFB,319
AGS,ORF,407
AGS,BFI,2307
AGS,ACT,899
AGS,GRK,942
AGS,CRW,346
AGS,MYR,176
AGS,IFP,1861
AGS,BQK,148
SWF,ABE,91
SWF,JFK,62
SWF,ACY,143
SWF,AVP,85
SWF,EWR,56
SWF,HPN,37
SWF,CLE,402
SWF,BUF,257
SWF,DTW,479
SWF,LGA,52
SWF,PBI,1077
SWF,SRQ,1084
SWF,TPA,1047
SWF,CEF,94
SWF,BOS,170
SWF,FLL,1118
SWF,MCO,989
SWF,GSO,488
SWF,IAD,250
SWF,DCA,240
SWF,RDU,463
SWF,RFD,774
SWF,OKC,1337
SWF,SDF,659
SWF,PWM,244
SWF,BNA,772
SWF,ALB,87
SWF,MEM,969
SWF,IND,652
SWF,MDT,166
SWF,PIE,1055
SWF,ONT,2409
SWF,ANC,3328
SWF,PHL,127
SWF,PVD,139
SWF,SYR,151
SWF,LEX,608
SWF,RIC,325
SWF,RSW,1120
SWF,PBG,220
SWF,FAY,519
SWF,HOU,1440
SWF,ATL,783
SWF,DAY,542
SWF,ACT,1450
SWF,DSM,1012
SWF,FWA,578
SWF,CID,910
SWF,MIE,597
SWF,RWI,440
SWF,CMH,472
SWF,BDL,79
SWF,TLH,956
SWF,SFB,965
SWF,YIP,489
SWF,LAX,2455
SWF,BWG,730
SWF,BQN,1638
SWF,PIT,328
SWF,MSP,991
SWF,DAL,1384
SWF,COS,1622
SWF,AFW,1402
SWF,BTV,210
SWF,BGR,351
SWF,BWI,210
SWF,HYA,198
SWF,ROA,426
SWF,GSP,634
SWF,AGS,707
SWF,ROC,214
SWF,LFT,1266
SWF,ORD,713
SWF,BUR,2444
SWF,CLT,571
SWF,SAN,2428
SWF,JAX,869
SWF,MSY,1202
SWF,SHV,1253
SWF,HTS,498
SWF,CVG,583
SWF,WRI,106
SWF,FNT,505
SWF,ERI,317
SWF,GRR,594
SWF,LNK,1179
SWF,CAK,385
SWF,TOL,503
SWF,CHS,678
SBA,PSP,196
SBA,MEM,1694
SBA,BUR,86
SBA,STP,1591
SBA,BFI,913
SBA,PIT,2198
SBA,SAT,1297
SBA,OAK,263
SBA,SJC,234
SBA,ARA,1660
SBA,SFO,262
SBA,SLC,615
SBA,SAN,192
SBA,SNA,124
SBA,PHX,455
SBA,HNL,2481
SBA,ONT,131
SBA,SMX,48
SBA,IFP,305
SBA,RDD,441
SBA,YUM,326
SBA,SBA,0
SBA,BOI,660
SBA,COS,893
SBA,SEA,908
SBA,MRY,187
SBA,FAT,162
SBA,SBP,72
SBA,LAX,89
SBA,LAS,289
SBA,SMF,310
SBA,ADS,1326
SBA,DEN,916
SBA,PDX,784
SBA,BZN,907
SBA,STL,1658
SBA,HOU,1475
SBA,FWA,1938
SBA,IND,1878
SBA,ATL,2023
SBA,MSO,913
SBA,ACV,509
SBA,BFL,82
SBA,GJT,706
SBA,TUS,539
SBA,LGB,106
SBA,MFR,572
SBA,FTW,1298
SBA,MDW,1809
SBA,SDF,1910
SBA,SUN,693
SBA,EUG,693
SBA,CYS,943
SBA,LWS,838
SBA,BTR,1691
SBA,AUS,1327
SBA,IAD,2353
SBA,BUF,2274
SBA,BED,2654
SBA,BGR,2766
SBA,ALB,2525
SBA,FAR,1476
SBA,TPA,2240
SBA,HPN,2537
SBA,KOA,2433
SBA,DAL,1327
SBA,ABQ,754
SBA,PUB,895
SBA,MKE,1811
MCG,FAI,269
MCG,ANI,159
MCG,ANV,147
MCG,HCR,143
MCG,MCG,0
MCG,TLJ,12
MCG,ENA,218
MCG,BET,253
MCG,KSM,254
MCG,RBY,123
MCG,ANC,220
MCG,FBK,276
MCG,GAL,130
MCG,KLG,182
MCG,OTZ,341
MCG,AKI,232
MCG,SXQ,228
MCG,PAQ,230
MCG,VAK,337
MCG,KAL,135
MCG,ILI,223
MCG,MRI,222
MCG,TKJ,397
MCG,OME,320
MCG,AIN,546
MCG,DLG,288
MCG,AET,264
MCG,SVW,129
MCG,UTO,218
MCG,HPB,354
MCG,BTT,299
MCG,AKN,298
MCG,WTK,384
MCG,MOU,266
MCG,BIG,314
MCG,ADQ,376
AWK,LAX,4650
CPR,JAC,221
CPR,TVL,760
CPR,RNO,731
CPR,GJT,282
CPR,SLC,320
CPR,RAP,188
CPR,TUL,729
CPR,MOT,447
CPR,FCA,531
CPR,DEN,230
CPR,LRD,1130
CPR,BIS,387
CPR,IFP,689
CPR,MCI,661
CPR,LAS,661
CPR,MSP,674
CPR,RKS,161
CPR,BFF,163
CPR,MEM,1038
CPR,BOI,494
CPR,SFO,915
CPR,RDM,742
CPR,COS,298
CPR,SBA,928
CPR,STL,889
CPR,BNA,1153
CPR,OKC,703
CPR,APC,891
CPR,BUR,879
CPR,TUS,784
CPR,GTF,396
CPR,ICT,599
CPR,AZA,720
CPR,BIL,225
CPR,CYS,148
CPR,LGB,890
CPR,BFI,834
CPR,SJC,902
CPR,FSM,832
CPR,ADS,863
CPR,TWF,409
CPR,IAD,1535
CPR,GEG,629
CPR,JFK,1685
CMI,SLK,781
CMI,SDF,188
CMI,MDW,124
CMI,DFW,693
CMI,TXK,554
CMI,IND,108
CMI,FSM,465
CMI,ABI,825
CMI,ORD,135
CMI,LAN,269
CMI,MIA,1085
CMI,LNK,450
CMI,MKE,202
CMI,MSP,419
CMI,HPN,769
CMI,ROW,1013
CMI,AEX,647
CMI,BWI,622
CMI,CMH,286
CMI,MSN,221
CMI,YIP,290
CMI,SCE,552
CMI,CAK,365
CMI,CID,220
CMI,RDU,592
CMI,ELP,1160
CMI,GGG,638
CMI,SGF,337
CMI,EVV,144
CMI,SPS,701
CMI,DSM,301
CMI,DTW,297
CMI,IFP,1475
CMI,ANB,465
CMI,LAS,1485
CMI,PIT,426
CMI,PBI,1034
CMI,AFW,699
CMI,AUS,861
CMI,BFI,1763
CMI,DAL,688
CMI,EWR,745
CMI,OKC,602
CMI,COU,227
CMI,SBN,154
CMI,SAN,1680
CMI,DEN,869
CMI,GPT,665
CMI,LUK,216
CMI,ATL,490
CMI,HOU,819
CMI,MLI,152
CMI,CLE,350
CMI,TUL,492
CMI,OMA,409
CMI,INT,515
CMI,TLH,701
CMI,LIT,426
CMI,FSD,500
CMI,MCO,893
CMI,CHS,672
CMI,PHF,668
CMI,JFK,766
CMI,LEX,241
CMI,ROA,486
CMI,DCA,606
CMI,HUF,66
CMI,MLU,560
CMI,PVD,889
CMI,PHX,1389
CMI,CLT,522
CMI,LBB,868
CMI,LAF,76
CMI,GSP,486
CMI,GEG,1542
CMI,MEM,357
CMI,ABE,678
CMI,BMI,46
CMI,MCI,347
CMI,PIA,86
CMI,TYS,374
CMI,FWA,175
CMI,SPI,76
CMI,DAY,216
CMI,CAE,577
CMI,STL,143
CMI,ACT,767
CMI,TPA,894
CMI,BOS,913
CMI,FAT,1712
SNA,EWR,2434
SNA,MDW,1731
SNA,SLC,588
SNA,ATL,1919
SNA,DEN,846
SNA,SJC,342
SNA,BNA,1772
SNA,MSP,1522
SNA,JAC,785
SNA,SAN,76
SNA,BUR,46
SNA,SUN,705
SNA,APA,829
SNA,HOU,1357
SNA,MRY,302
SNA,BFI,984
SNA,EUG,776
SNA,SBA,124
SNA,LAX,36
SNA,MKC,1346
SNA,SJU,3354
SNA,PRC,319
SNA,CMH,1974
SNA,IFP,215
SNA,SFO,372
SNA,ABQ,650
SNA,ABE,2367
SNA,DFW,1205
SNA,IAD,2265
SNA,PIA,1620
SNA,ORD,1726
SNA,IND,1792
SNA,AUS,1209
SNA,LCH,1466
SNA,COS,815
SNA,PHX,338
SNA,SAT,1177
SNA,IAH,1346
SNA,SEA,978
SNA,RNO,415
SNA,MAF,919
SNA,MCI,1342
SNA,PDX,859
SNA,ABI,1058
SNA,TUL,1257
SNA,MKE,1738
SNA,MLI,1587
SNA,RFD,1668
SNA,AMA,928
SNA,SPS,1113
SNA,SMF,404
SNA,ONT,30
SNA,CYS,883
SNA,BHM,1787
SNA,HSV,1776
SNA,TYS,1924
SNA,CSG,1904
SNA,LBB,924
SNA,LAS,226
SNA,OAK,371
SNA,DAL,1216
SNA,SDF,1819
SNA,MEM,1592
SNA,PBI,2298
SNA,SBP,191
SNA,SYR,2332
SNA,CLT,2099
SNA,BOI,688
SNA,PSP,79
SNA,TUS,417
SNA,FAT,238
SNA,STL,1569
SNA,CRP,1276
SNA,FSD,1326
SNA,DSM,1428
SNA,ELP,681
SNA,LMT,622
SNA,AFW,1188
SNA,BWI,2307
SNA,JAN,1612
SNA,CVG,1877
SNA,DTW,1960
SNA,LSE,1590
SNA,BUF,2199
SNA,MOB,1742
SNA,PIH,698
SNA,GJT,641
SNA,PHL,2380
SNA,MSN,1670
SNA,SHV,1395
SNA,BKL,2042
SNA,JAX,2123
SNA,BOS,2592
SNA,JFK,2454
SNA,CHA,1861
SNA,APC,399
SNA,TWF,635
SNA,YUM,202
SNA,HNL,2584
SNA,CLE,2032
SNA,SWF,2435
SNA,OGG,2513
SNA,OKC,1160
SNA,LGA,2449
SNA,PIE,2119
SNA,BPT,1423
SNA,PUB,813
SNA,GSP,2031
SNA,PNS,1807
SNA,FAR,1431
SNA,OMA,1312
SNA,PIT,2115
SNA,MSO,935
SNA,RAP,1069
SNA,OLM,955
SNA,PUW,903
SNA,IDA,747
SNA,BDL,2507
SNA,ALB,2449
SNA,MSY,1639
SNA,PVD,2573
SNA,TLH,1971
LWT,BIL,96
LWT,DEN,552
LWT,SHR,198
LWT,GGW,156
LWT,WRL,225
FYU,FAI,143
FYU,ARC,107
FYU,FBK,138
FYU,FYU,0
FYU,SCC,264
FYU,NUI,292
FYU,BTI,250
FYU,AKP,204
FYU,ENN,178
FYU,UTO,239
FYU,BTT,174
FYU,BRW,434
FYU,EDF,394
FYU,ANC,401
FYU,GAL,358
FYU,PAQ,365
BET,HPB,153
BET,PTU,122
BET,ILI,248
BET,AKI,22
BET,ANI,95
BET,HCR,119
BET,WNA,8
BET,DLG,167
BET,KSM,101
BET,VAK,136
BET,ANV,140
BET,MOU,110
BET,EHM,148
BET,CZF,156
BET,KLG,72
BET,BET,0
BET,EEK,40
BET,GNU,115
BET,KNW,179
BET,TOG,129
BET,KAL,264
BET,ANC,399
BET,MYU,154
BET,MCG,253
BET,FAI,522
BET,DUT,507
BET,FBK,529
BET,ENA,360
BET,AKN,232
BET,SVW,212
BET,KEK,180
BET,OME,283
BET,GAL,315
BET,SDP,381
BET,CDB,387
BET,SNP,390
BET,ADQ,391
BET,HOM,365
BET,CDV,555
BET,EDF,405
BET,SYA,1062
BET,PTH,288
BET,PAQ,429
BET,OTZ,424
BET,ENN,482
BET,PHO,544
BET,BRW,741
BET,SXQ,368
BET,PIZ,621
BET,TLJ,241
BET,WTK,471
BET,BVU,364
BET,GAM,380
BET,SVA,343
BET,BKC,360
BET,AIN,684
PUB,IFP,598
PUB,LAR,218
PUB,RKS,333
PUB,DEN,109
PUB,LFT,906
PUB,ORD,913
PUB,COS,37
PUB,OAK,967
PUB,MCI,532
PUB,BFI,1102
PUB,MSP,739
PUB,IAH,776
PUB,CLL,705
PUB,LAS,607
PUB,SJT,529
PUB,ATL,1167
PUB,MKC,538
PUB,CMH,1164
PUB,MOD,899
PUB,AMA,262
PUB,LAX,833
PUB,GCK,207
PUB,SFO,976
PUB,SDF,1019
PUB,ALS,95
PUB,LBL,212
PUB,DAL,571
PUB,SJC,954
PUB,YIP,1138
PUB,GJT,225
PUB,EWR,1622
PUB,SUX,513
PUB,IND,983
PUB,CYS,198
PUB,DLH,860
PUB,BUR,823
PUB,DDC,250
PUB,PHX,538
PUB,PUB,0
PUB,AZA,529
ATL,EWR,746
ATL,ABE,692
ATL,ABQ,1269
ATL,AGS,143
ATL,ALB,853
ATL,ATW,765
ATL,AVL,164
ATL,BDL,859
ATL,BHM,134
ATL,BNA,214
ATL,BTR,448
ATL,BWI,577
ATL,CAE,192
ATL,CAK,528
ATL,CHA,106
ATL,CHO,457
ATL,CHS,259
ATL,CLE,554
ATL,CLT,226
ATL,CVG,373
ATL,DAL,721
ATL,DCA,547
ATL,DEN,1199
ATL,DSM,743
ATL,DTW,594
ATL,ECP,240
ATL,EVV,350
ATL,FAY,331
ATL,FNT,645
ATL,GNV,300
ATL,GPT,352
ATL,GRR,640
ATL,GSO,306
ATL,GSP,153
ATL,HOU,696
ATL,HSV,151
ATL,IAD,534
ATL,IAH,689
ATL,ICT,782
ATL,ILM,377
ATL,IND,432
ATL,JAN,341
ATL,JAX,270
ATL,JFK,760
ATL,LEX,304
ATL,LFT,503
ATL,LIT,453
ATL,MCI,692
ATL,MCO,404
ATL,MDT,620
ATL,MDW,591
ATL,MEM,332
ATL,MHT,952
ATL,MIA,594
ATL,MKE,669
ATL,MOB,302
ATL,MSN,707
ATL,MYR,317
ATL,OKC,761
ATL,OMA,821
ATL,ORD,606
ATL,PHL,666
ATL,PIT,526
ATL,PVD,903
